dataset_size,category,query_id,mmsi,query,actual_result
10,attribute,0,211190000,What is the annual CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000]?,20114.72
5,attribute,0,211190000,What is the annual CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000]?,20114.72
20,attribute,0,211190000,What is the annual CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000]?,20114.72
50,attribute,0,211190000,What is the annual CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000]?,20114.72
75,attribute,0,211190000,What is the annual CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000]?,20114.72
100,attribute,0,211190000,What is the annual CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000]?,20114.72
150,attribute,0,211190000,What is the annual CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000]?,20114.72
10,attribute,1,211190000,What is the CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000] per nautical mile ?,252.956612
5,attribute,1,211190000,What is the CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000] per nautical mile ?,252.956612
20,attribute,1,211190000,What is the CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000] per nautical mile ?,252.956612
50,attribute,1,211190000,What is the CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000] per nautical mile ?,252.956612
75,attribute,1,211190000,What is the CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000] per nautical mile ?,252.956612
100,attribute,1,211190000,What is the CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000] per nautical mile ?,252.956612
150,attribute,1,211190000,What is the CO2 emission of ship [MMSI=219028133-219018172-211870240-211190000] per nautical mile ?,252.956612
5,attribute,2,211190000,What is the name of ship [MMSI=219028133-219018172-211870240-211190000]?,SCHLESWIG-HOLSTEIN
10,attribute,2,211190000,What is the name of ship [MMSI=219028133-219018172-211870240-211190000]?,SCHLESWIG-HOLSTEIN
20,attribute,2,211190000,What is the name of ship [MMSI=219028133-219018172-211870240-211190000]?,SCHLESWIG-HOLSTEIN
50,attribute,2,211190000,What is the name of ship [MMSI=219028133-219018172-211870240-211190000]?,SCHLESWIG-HOLSTEIN
75,attribute,2,211190000,What is the name of ship [MMSI=219028133-219018172-211870240-211190000]?,SCHLESWIG-HOLSTEIN
100,attribute,2,211190000,What is the name of ship [MMSI=219028133-219018172-211870240-211190000]?,SCHLESWIG-HOLSTEIN
150,attribute,2,211190000,What is the name of ship [MMSI=219028133-219018172-211870240-211190000]?,SCHLESWIG-HOLSTEIN
5,attribute,3,211190000,What is the volume of displaced water of ship [MMSI=219028133-219018172-211870240-211190000],17935.2
10,attribute,3,211190000,What is the volume of displaced water of ship [MMSI=219028133-219018172-211870240-211190000],17935.2
20,attribute,3,211190000,What is the volume of displaced water of ship [MMSI=219028133-219018172-211870240-211190000],17935.2
50,attribute,3,211190000,What is the volume of displaced water of ship [MMSI=219028133-219018172-211870240-211190000],17935.2
75,attribute,3,211190000,What is the volume of displaced water of ship [MMSI=219028133-219018172-211870240-211190000],17935.2
100,attribute,3,211190000,What is the volume of displaced water of ship [MMSI=219028133-219018172-211870240-211190000],17935.2
150,attribute,3,211190000,What is the volume of displaced water of ship [MMSI=219028133-219018172-211870240-211190000],17935.2
5,attribute,5,211190000,What is the IMO number for ship [MMSI=219028133-219018172-211870240-211190000]?,9151539
10,attribute,5,211190000,What is the IMO number for ship [MMSI=219028133-219018172-211870240-211190000]?,9151539
20,attribute,5,211190000,What is the IMO number for ship [MMSI=219028133-219018172-211870240-211190000]?,9151539
50,attribute,5,211190000,What is the IMO number for ship [MMSI=219028133-219018172-211870240-211190000]?,9151539
75,attribute,5,211190000,What is the IMO number for ship [MMSI=219028133-219018172-211870240-211190000]?,9151539
100,attribute,5,211190000,What is the IMO number for ship [MMSI=219028133-219018172-211870240-211190000]?,9151539
150,attribute,5,211190000,What is the IMO number for ship [MMSI=219028133-219018172-211870240-211190000]?,9151539
5,attribute,6,0,How many ships are in the dataset?,5
10,attribute,6,0,How many ships are in the dataset?,10
20,attribute,6,0,How many ships are in the dataset?,20
50,attribute,6,0,How many ships are in the dataset?,50
75,attribute,6,0,How many ships are in the dataset?,75
100,attribute,6,0,How many ships are in the dataset?,100
150,attribute,6,0,How many ships are in the dataset?,150
5,attribute,7,0,"Assuming that the rectangle volume of a ship is a good approximation of its cargo capacity, which ship has the largest cargo capacity?",211870240
10,attribute,7,0,"Assuming that the rectangle volume of a ship is a good approximation of its cargo capacity, which ship has the largest cargo capacity?",265177000
20,attribute,7,0,"Assuming that the rectangle volume of a ship is a good approximation of its cargo capacity, which ship has the largest cargo capacity?",354540000
50,attribute,7,0,"Assuming that the rectangle volume of a ship is a good approximation of its cargo capacity, which ship has the largest cargo capacity?",354537000
75,attribute,7,0,"Assuming that the rectangle volume of a ship is a good approximation of its cargo capacity, which ship has the largest cargo capacity?",636021994
100,attribute,7,0,"Assuming that the rectangle volume of a ship is a good approximation of its cargo capacity, which ship has the largest cargo capacity?",257739000
150,attribute,7,0,"Assuming that the rectangle volume of a ship is a good approximation of its cargo capacity, which ship has the largest cargo capacity?",220497000
5,individual-trajectory,8,211190000,What is the maximum recorded speed of ship [MMSI=219028133-219018172-211870240-211190000]?,15.7
10,individual-trajectory,8,211190000,What is the maximum recorded speed of ship [MMSI=219028133-219018172-211870240-211190000]?,15.7
20,individual-trajectory,8,211190000,What is the maximum recorded speed of ship [MMSI=219028133-219018172-211870240-211190000]?,15.7
50,individual-trajectory,8,211190000,What is the maximum recorded speed of ship [MMSI=219028133-219018172-211870240-211190000]?,15.7
75,individual-trajectory,8,211190000,What is the maximum recorded speed of ship [MMSI=219028133-219018172-211870240-211190000]?,15.7
100,individual-trajectory,8,211190000,What is the maximum recorded speed of ship [MMSI=219028133-219018172-211870240-211190000]?,15.7
150,individual-trajectory,8,211190000,What is the maximum recorded speed of ship [MMSI=219028133-219018172-211870240-211190000]?,15.7
5,individual-trajectory,9,211190000,Ship [MMSI=211190000] is a ferry doing a round trip between two ports. It does it multiple times a day. What is the average single trip duration in minutes,1:06:15
10,individual-trajectory,9,211190000,Ship [MMSI=211190000] is a ferry doing a round trip between two ports. It does it multiple times a day. What is the average single trip duration in minutes,1:06:15
20,individual-trajectory,9,211190000,Ship [MMSI=211190000] is a ferry doing a round trip between two ports. It does it multiple times a day. What is the average single trip duration in minutes,1:06:15
50,individual-trajectory,9,211190000,Ship [MMSI=211190000] is a ferry doing a round trip between two ports. It does it multiple times a day. What is the average single trip duration in minutes,1:06:15
75,individual-trajectory,9,211190000,Ship [MMSI=211190000] is a ferry doing a round trip between two ports. It does it multiple times a day. What is the average single trip duration in minutes,1:06:15
100,individual-trajectory,9,211190000,Ship [MMSI=211190000] is a ferry doing a round trip between two ports. It does it multiple times a day. What is the average single trip duration in minutes,1:06:15
150,individual-trajectory,9,211190000,Ship [MMSI=211190000] is a ferry doing a round trip between two ports. It does it multiple times a day. What is the average single trip duration in minutes,1:06:15
5,individual-trajectory,10,211190000,What is the total number of kilometers traveled by ship [MMSI=219028133-219018172-211870240-211190000] for the day ?,776.1253656
